La{Lanthan;Lanthanum;57;138.91;1.10;6;Lanth;Fest;Solid;Lanthanoide;Lanthanides;[Xe] 5d1 6s2}
Ce{Cer;Cerium;58;140.12;1.12;6;Lanth;Fest;Solid;Lanthanoide;Lanthanides;[Xe] 4f1 5d1 6s2}
Pr{Praseodym;Praseodymium;59;140.91;1.13;6;Lanth;Fest;Solid;Lanthanoide;Lanthanides;[Xe] 4f3 6s2}
Nd{Neodym;Neodymium;60;144.24;1.14;6;Lanth;Fest;Solid;Lanthanoide;Lanthanides;[Xe] 4f4 6s2}
Pm{Promethium;Promethium;61;(145);1.13;6;Lanth;Fest;Solid;Lanthanoide;Lanthanides;[Xe] 4f5 6s2}
Sm{Samarium;Samarium;62;150.36;1.17;6;Lanth;Fest;Solid;Lanthanoide;Lanthanides;[Xe] 4f6 6s2}
Eu{Europium;Europium;63;151.96;1.2;6;Lanth;Fest;Solid;Lanthanoide;Lanthanides;[Xe] 4f7 6s2}
Gd{Gadolinium;Gadolinium;64;157.25;1.2;6;Lanth;Fest;Solid;Lanthanoide;Lanthanides;[Xe] 4f7 5d1 6s2}
Tb{Terbium;Terbium;65;158.93;1.2;6;Lanth;Fest;Solid;Lanthanoide;Lanthanides;[Xe] 4f9 6s2}
Dy{Dysprosium;Dysprosium;66;162.50;1.22;6;Lanth;Fest;Solid;Lanthanoide;Lanthanides;[Xe] 4f10 6s2}
Ho{Holmium;Holmium;67;164.93;1.23;6;Lanth;Fest;Solid;Lanthanoide;Lanthanides;[Xe] 4f11 6s2}
Er{Erbium;Erbium;68;167.26;1.24;6;Lanth;Fest;Solid;Lanthanoide;Lanthanides;[Xe] 4f12 6s2}
Tm{Thulium;Thulium;69;168.93;1.25;6;Lanth;Fest;Solid;Lanthanoide;Lanthanides;[Xe] 4f13 6s2}
Yb{Ytterbium;Ytterbium;70;173.05;1.1;6;Lanth;Fest;Solid;Lanthanoide;Lanthanides;[Xe] 4f14 6s2}
Lu{Lutetium;Lutetium;71;174.97;1.27;6;Lanth;Fest;Solid;Lanthanoide;Lanthanides;[Xe] 4f14 5d1 6s2}
Hf{Hafnium;Hafnium;72;178.49;1.3;6;4;Fest;Solid;Übergangsmetalle;Transition metals;[Xe] 4f14 5d2 6s2}
Ta{Tantal;Tantalum;73;180.95;1.5;6;5;Fest;Solid;Übergangsmetalle;Transition metals;[Xe] 4f14 5d3 6s2}
W{Wolfram;Tungsten;74;183.84;2.36;6;6;Fest;Solid;Übergangsmetalle;Transition metals;[Xe] 4f14 5d4 6s2}
Re{Rhenium;Rhenium;75;186.21;1.9;6;7;Fest;Solid;Übergangsmetalle;Transition metals;[Xe] 4f14 5d5 6s2}
Os{Osmium;Osmium;76;190.23;2.2;6;8;Fest;Solid;Übergangsmetalle;Transition metals;[Xe] 4f14 5d6 6s2}
Ir{Iridium;Iridium;77;192.22;2.20;6;9;Fest;Solid;Übergangsmetalle;Transition metals;[Xe] 4f14 5d7 6s2}
Pt{Platin;Platinum;78;195.08;2.28;6;10;Fest;Solid;Übergangsmetalle;Transition metals;[Xe] 4f14 5d9 6s1}
Au{Gold;Gold;79;196.97;2.54;6;11;Fest;Solid;Übergangsmetalle;Transition metals;[Xe] 4f14 5d10 6s1}
Hg{Quecksilber;Mercury;80;200.59;2.00;6;12;Flüssig;Liquid;Übergangsmetalle;Transition metals;[Xe] 4f14 5d10 6s2}
Tl{Thallium;Thallium;81;204.38;1.62;6;13;Fest;Solid;Metalle;Metals;[Xe] 4f14 5d10 6s2 6p1}
Pb{Blei;Lead;82;207.2;2.33;6;14;Fest;Solid;Metalle;Metals;[Xe] 4f14 5d10 6s2 6p2}
Bi{Bismut;Bismuth;83;208.98;2.02;6;15;Fest;Solid;Metalle;Metals;[Xe] 4f14 5d10 6s2 6p3}
Po{Polonium;Polonium;84;(209);2.0;6;16;Fest;Solid;Halbmetalle;Metalloids;[Xe] 4f14 5d10 6s2 6p4}
At{Astat;Astatine;85;(210);2.2;6;17;Fest;Solid;Halogene;Halogens;[Xe] 4f14 5d10 6s2 6p5}
Rn{Radon;Radon;86;(222);-;6;18;Gasförmig;Gas;Edelgase;Noble gases;[Xe] 4f14 5d10 6s2 6p6}
Fr{Francium;Francium;87;(223);0.7;7;1;Fest;Solid;Alkalimetalle;Alkali metals;[Rn] 7s1}
Ra{Radium;Radium;88;(226);0.9;7;2;Fest;Solid;Erdalkalimetalle;Alkaline earth metals;[Rn] 7s2}
Ac{Actinium;Actinium;89;(227);1.1;7;Actin;Fest;Solid;Actinoide;Actinides;[Rn] 6d1 7s2}
Th{Thorium;Thorium;90;232.04;1.3;7;Actin;Fest;Solid;Actinoide;Actinides;[Rn] 6d2 7s2}
Pa{Protactinium;Protactinium;91;231.04;1.5;7;Actin;Fest;Solid;Actinoide;Actinides;[Rn] 5f2 6d1 7s2}
U{Uran;Uranium;92;238.03;1.38;7;Actin;Fest;Solid;Actinoide;Actinides;[Rn] 5f3 6d1 7s2}
Np{Neptunium;Neptunium;93;(237);1.36;7;Actin;Fest;Solid;Actinoide;Actinides;[Rn] 5f4 6d1 7s2}
Pu{Plutonium;Plutonium;94;(244);1.28;7;Actin;Fest;Solid;Actinoide;Actinides;[Rn] 5f6 7s2}
Am{Americium;Americium;95;(243);1.13;7;Actin;Fest;Solid;Actinoide;Actinides;[Rn] 5f7 7s2}
Cm{Curium;Curium;96;(247);1.28;7;Actin;Fest;Solid;Actinoide;Actinides;[Rn] 5f7 6d1 7s2}
Bk{Berkelium;Berkelium;97;(247);1.3;7;Actin;Fest;Solid;Actinoide;Actinides;[Rn] 5f9 7s2}
Cf{Californium;Californium;98;(251);1.3;7;Actin;Fest;Solid;Actinoide;Actinides;[Rn] 5f10 7s2}
Es{Einsteinium;Einsteinium;99;(252);1.3;7;Actin;Fest;Solid;Actinoide;Actinides;[Rn] 5f11 7s2}
Fm{Fermium;Fermium;100;(257);1.3;7;Actin;Fest;Solid;Actinoide;Actinides;[Rn] 5f12 7s2}
Md{Mendelevium;Mendelevium;101;(258);1.3;7;Actin;Fest;Solid;Actinoide;Actinides;[Rn] 5f13 7s2}
No{Nobelium;Nobelium;102;(259);1.3;7;Actin;Fest;Solid;Actinoide;Actinides;[Rn] 5f14 7s2}
Lr{Lawrencium;Lawrencium;103;(262);1.3;7;Actin;Fest;Solid;Actinoide;Actinides;[Rn] 5f14 7s2 7p1}
Rf{Rutherfordium;Rutherfordium;104;(267);-;7;4;Unbekannt;Unknown;Übergangsmetalle;Transition metals;[Rn] 5f14 6d2 7s2}
Db{Dubnium;Dubnium;105;(268);-;7;5;Unbekannt;Unknown;Übergangsmetalle;Transition metals;[Rn] 5f14 6d3 7s2}
Sg{Seaborgium;Seaborgium;106;(271);-;7;6;Unbekannt;Unknown;Übergangsmetalle;Transition metals;[Rn] 5f14 6d4 7s2}
Bh{Bohrium;Bohrium;107;(272);-;7;7;Unbekannt;Unknown;Übergangsmetalle;Transition metals;[Rn] 5f14 6d5 7s2}
Hs{Hassium;Hassium;108;(270);-;7;8;Unbekannt;Unknown;Übergangsmetalle;Transition metals;[Rn] 5f14 6d6 7s2}
Mt{Meitnerium;Meitnerium;109;(276);-;7;9;Unbekannt;Unknown;Übergangsmetalle;Transition metals;[Rn] 5f14 6d7 7s2}
Ds{Darmstadtium;Darmstadtium;110;(281);-;7;10;Unbekannt;Unknown;Übergangsmetalle;Transition metals;[Rn] 5f14 6d8 7s2}
Rg{Roentgenium;Roentgenium;111;(280);-;7;11;Unbekannt;Unknown;Übergangsmetalle;Transition metals;[Rn] 5f14 6d9 7s2}
Cn{Copernicium;Copernicium;112;(285);-;7;12;Unbekannt;Unknown;Übergangsmetalle;Transition metals;[Rn] 5f14 6d10 7s2}
Nh{Nihonium;Nihonium;113;(284);-;7;13;Unbekannt;Unknown;Metalle;Metals;[Rn] 5f14 6d10 7s2 7p1}
Fl{Flerovium;Flerovium;114;(289);-;7;14;Unbekannt;Unknown;Metalle;Metals;[Rn] 5f14 6d10 7s2 7p2}
Mc{Moscovium;Moscovium;115;(288);-;7;15;Unbekannt;Unknown;Metalle;Metals;[Rn] 5f14 6d10 7s2 7p3}
Lv{Livermorium;Livermorium;116;(293);-;7;16;Unbekannt;Unknown;Metalle;Metals;[Rn] 5f14 6d10 7s2 7p4}
Ts{Tenness;Tennessine;117;(294);-;7;17;Unbekannt;Unknown;Halogene;Halogens;[Rn] 5f14 6d10 7s2 7p5}
Og{Oganesson;Oganesson;118;(294);-;7;18;Unbekannt;Unknown;Edelgase;Noble gases;[Rn] 5f14 6d10 7s2 7p6}
